Date,ada_volume_obv,ada_momentum_rsi,ada_trend_macd,ada_volatility_atr,atom_volume_obv,atom_momentum_rsi,atom_trend_macd,atom_volatility_atr,avax_volume_obv,avax_momentum_rsi,avax_trend_macd,avax_volatility_atr,axs_volume_obv,axs_momentum_rsi,axs_trend_macd,axs_volatility_atr,btc_volume_obv,btc_momentum_rsi,btc_trend_macd,btc_volatility_atr,eth_volume_obv,eth_momentum_rsi,eth_trend_macd,eth_volatility_atr,link_volume_obv,link_momentum_rsi,link_trend_macd,link_volatility_atr,luna1_volume_obv,luna1_momentum_rsi,luna1_trend_macd,luna1_volatility_atr,matic_volume_obv,matic_momentum_rsi,matic_trend_macd,matic_volatility_atr,sol_volume_obv,sol_momentum_rsi,sol_trend_macd,sol_volatility_atr
2019-09-20,4787883514.0,63.348454539031756,0.0005833505345842621,0.002596461706286021,-1177709277.0,58.673100908986505,0.1575585482313282,0.28926944073156624,,,,,,,,,666489942908,46.522047743331704,-31.71405162274641,252.24749310192183,139117039792.0,70.43916933294338,6.16894551623659,8.541728788475103,2229589879.0,49.43888676049878,-0.08196835796977076,0.12287325209504174,2344847.0,31.518348539325913,-0.05207778442176125,0.13491420046798813,1348807557.0,50.22901064212263,-8.713894188373643e-05,0.0009383400613534664,,,,
2019-09-21,4705919088.0,61.54904328998088,0.0007686685349946112,0.0025368155684399687,-1324704772.0,55.02970941493576,0.1475482194648472,0.2855766952286611,,,,,,,,,653064676102,42.548473164594775,-49.14660388135235,245.76170863547964,131373730014.0,67.59300319436625,6.979684848802577,8.283368897908842,2306434258.0,52.97981937847627,-0.06459820851970832,0.11949902665131515,1855171.0,30.00736671493756,-0.054563919109335224,0.12357817974369908,1343348573.0,48.25700963196263,-9.200601019408554e-05,0.0008887060658158197,,,,
2019-09-22,4619767072.0,51.04779989315923,0.0006808616487903943,0.002692833988040222,-1464893356.0,50.05847771782239,0.12493968667156086,0.28396323385093664,,,,,,,,,666264327800,44.15604528736484,-58.201998697850286,236.37665105318166,123560875438.0,63.27797001130966,7.2185779302603805,8.299163477844523,2243210200.0,48.91103581034598,-0.055677852705049435,0.11827022336286215,2475692.0,30.351616118190194,-0.05576668556723652,0.11522056061042414,1335963772.0,42.658458315475016,-0.00016138039399164056,0.0009131355070490777,,,,
2019-09-23,4549394834.0,43.03860139838309,0.0003771967853023195,0.0027526505573119498,-1594575792.0,41.85493133640431,0.07944226957431999,0.2894914185606306,,,,,,,,,651119402392,36.710666130505466,-91.84114297775159,247.4484586041135,116066202302.0,54.24010998882231,6.55574986100558,8.464574888849139,2167096044.0,48.08914546308858,-0.04917550050821751,0.11663100572552001,1734786.0,29.131118763136243,-0.0570483990666284,0.10731530247342347,1329647987.0,40.784963622445886,-0.00023838449869027951,0.0008913219034748499,,,,
2019-09-24,4430919988.0,28.393378096516585,-0.000558315099990242,0.003541685666161095,-1782824833.0,35.45052396975615,0.01590727366295397,0.3173426898362814,,,,,,,,,626116515703,23.08403860006112,-205.59789185257068,366.05517524370214,104308463069.0,35.21237984401861,3.2645906431102105,11.69539401129235,1948515516.0,44.032784878453214,-0.04922740274070425,0.15246149407737603,783232.0,19.71608321648067,-0.06815271524971389,0.110999775453315,1309063009.0,34.53361999871993,-0.00038973093772631806,0.0010177896784315048,,,,
2019-09-25,4557112397.0,33.5046697047769,-0.001139478891953205,0.0035857171048378753,-1605166805.0,37.336839680616016,-0.029122849367232195,0.3115806202926557,,,,,,,,,604371787350,22.02344539589791,-303.035969215578,371.3928217818319,114075095087.0,37.16558600981457,0.8707670906108831,11.506483577448272,2110150349.0,45.71338676665792,-0.04676222052731838,0.16476214385253027,2010947.0,23.050750321899557,-0.07473751278412899,0.10277799295536205,1296649865.0,34.35984910206547,-0.0005067376461577022,0.0010090107202443143,,,,
2019-09-26,4458273650.0,31.933260762690168,-0.0016749150991999529,0.0036915452983667676,-1745615418.0,35.84705710497322,-0.0705804688446241,0.3069068569694448,,,,,,,,,585113582061,19.381266605927635,-405.2810926784405,396.25915483802373,106226808933.0,35.442572276337046,-1.3469553956086031,11.81206690915657,1998142008.0,40.302710626858236,-0.052371886456762384,0.16883172204692812,1082711.0,21.703936307389043,-0.08090168612371018,0.09701008969978861,1287323402.0,32.50542643019506,-0.0006228683877208038,0.001024509603224333,,,,
2019-09-27,4538943665.0,35.56697201240418,-0.001971386148295458,0.003593890670540061,-1632408977.0,38.1076378863023,-0.09672418104736691,0.2884007673342069,,,,,,,,,601522523217,22.974387695701054,-470.1691341323549,387.19300497922137,114136122558.0,41.080627487729195,-2.4322473079989493,11.870987781717476,2088355625.0,41.13193827782477,-0.05527783854927204,0.1618797446244924,1966988.0,23.31930534610663,-0.08418754556535579,0.0894562844136629,1294496384.0,35.37933125451103,-0.0006836219026548924,0.0009876586767513797,,,,
2019-09-28,4499138419.0,34.49399875196559,-0.002237437414036904,0.0033666015150566045,-1729221561.0,37.91746727610064,-0.1168361437200316,0.2694766861986256,,,,,,,,,587381370481,22.92527592314751,-516.1223918447376,364.49225916879925,107240699113.0,41.01390043222672,-3.265846427856161,11.184366603643385,2159791139.0,42.456189435513885,-0.055551994474507094,0.1510162769216867,2593654.0,25.248494353291733,-0.08508043947909982,0.08266925606423083,1303456084.0,38.24995479863537,-0.0006999771887782353,0.0009491927792858417,,,,
2019-09-29,4455827389.0,32.48644409962006,-0.002527358353340385,0.003257441489316744,-1835911776.0,36.30640318094809,-0.13729986460193588,0.2595834084860506,,,,,,,,,574346741372,21.72980483027007,-557.5499761318497,355.1640293456693,100743610914.0,39.00356321918522,-4.206359005433882,10.887182384685296,2244911247.0,44.77711261157415,-0.05275236861946864,0.14422874615716086,2034668.0,25.177881828198508,-0.08488516782328082,0.07725022846424695,1297068206.0,36.43008704000862,-0.0007293042591761546,0.0009165735799280975,,,,
2019-09-30,4513101878.0,36.63007939734111,-0.0026141015045193297,0.003218197496310819,-1699131409.0,49.297183724341984,-0.1179588480125382,0.28001366989422044,,,,,,,,,591462215555,27.2012308308161,-568.5222624372018,367.9948920361024,108296526062.0,45.613029135309574,-4.147929150609571,11.08202432688083,2328980102.0,48.26166276094821,-0.04626534793980008,0.14173477559799386,3554257.0,53.54650533047804,-0.0686092472781995,0.0898559029158722,1285194395.0,35.879172760651514,-0.0007513091619129782,0.0009083162516243578,,,,
2019-10-01,4474781532.0,35.987389328619855,-0.0026824262966343715,0.0030525776787781273,-1818062522.0,47.33670605964372,-0.10783628291384195,0.2672668004328746,,,,,,,,,606767558968,28.601303589382994,-566.6985017441039,357.69667236374215,100620249837.0,44.21859649544114,-4.256846606262485,10.897109858059935,2420582951.0,53.442687014696254,-0.03460887929058676,0.1416875034825304,1374249.0,42.28178719975106,-0.06496445294123743,0.09837121980697847,1278419100.0,35.15724391141164,-0.000769241099975131,0.000861884685148662,,,,
2019-10-02,4511620498.0,38.85436585865608,-0.0026305617840466852,0.0029121196756527047,-1701862416.0,48.80704914796108,-0.09440137606970955,0.25815710761798066,,,,,,,,,619893271411,30.060336847249843,-554.8416194148231,338.4616730961179,106955845087.0,46.5605057212693,-4.0248309000564575,10.356584052918004,2522877360.0,62.823100118654736,-0.010934181169585555,0.1468589464059143,-342522.0,37.387279601019095,-0.06708274026365768,0.09719619647244455,1283684548.0,36.602058672832385,-0.0007647919024584109,0.0008087961659936959,,,,
2019-10-03,4474521577.0,36.80296046158026,-0.002646422206622215,0.0028061079075722643,-1814654144.0,48.200179375138646,-0.08458988691292202,0.24631069903361177,,,,,,,,,606224448002,28.389979288500783,-549.8427174576682,331.3945585208811,100574441362.0,43.354926935314346,-4.236822641748006,10.140859729657453,2421778919.0,58.15421443944811,0.0025041763506434833,0.14534446232593082,-2144746.0,33.62993433403351,-0.07309910075363202,0.09434747840982535,1279019875.0,35.32367891600502,-0.0007672685125691605,0.0007746165091790664,,,,
2019-10-04,4522571870.0,40.854596476918225,-0.002524507679485241,0.0027727971605171577,-1720826477.0,48.33932140960981,-0.07557874595395919,0.233471239848024,,,,,,,,,593084991773,27.716170094772238,-543.9720839945658,309.136987434418,106823369811.0,44.683791769590265,-4.212184363335155,9.625572889992489,2499232948.0,59.52554882982324,0.015220339258488425,0.13936421245106476,-3850143.0,30.74536824962516,-0.08141920812949399,0.09253853094001287,1284073876.0,35.939146873566955,-0.0007567158524717198,0.0007269548523424198,,,,
2019-10-05,4559683513.0,41.05093615432345,-0.002395195472227739,0.002610417318198962,-1615026995.0,53.15930248566666,-0.054848367535200726,0.2314988183168349,,,,,,,,,580884494576,27.020595602003596,-537.5161822204736,292.66386486285126,100986158040.0,44.28686069446468,-4.195413094991153,9.12738327677449,2402658242.0,58.572050622258615,0.023987490779731946,0.13149058493764773,-2582843.0,31.938542136743536,-0.08616740838683445,0.08781447587686485,1279989199.0,34.98558001071193,-0.0007497960122416231,0.0006823593249617376,,,,
2019-10-06,4521563641.0,40.1265044232787,-0.002298974339704253,0.002496575589645395,-1714991722.0,50.63200318844668,-0.04434482010699936,0.224781031059126,,,,,,,,,567723664271,24.99374513297556,-539.362947539541,283.6534354078161,95133267366.0,42.189248957817604,-4.397101730967734,8.821122305054072,2529014823.0,68.10764892595867,0.04830027485158572,0.14885512297861192,-3359385.0,31.449060077066477,-0.08961232352639337,0.08400282780776357,1274803425.0,33.44140472329367,-0.0007519437724689253,0.0006460233326880739,,,,
2019-10-07,4590695649.0,47.49097227897007,-0.0020100835653670615,0.0025737180045263355,-1598256583.0,57.27893301318871,-0.016272873777935626,0.23840062139651175,,,,,,,,,585733406878,33.46553335394378,-514.1245563378616,295.55650007015953,102977584200.0,48.654282753894414,-3.8566870430252322,9.021863773279131,2731205758.0,74.2506141432355,0.08385008933800586,0.16990241383474242,-4338199.0,31.26571444631574,-0.0915412273472761,0.07921574283048452,1287219364.0,41.79595695196233,-0.000696396400220383,0.0006622209627445265,,,,
